Voyage ID,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Year of arrival at port of disembarkation,Slaves arrived at 1st port,Slaves died during middle passage
47608,,"Bahia, port unspecified",Benguela,"Bahia, port unspecified",1753,,
47609,,"Bahia, port unspecified",Benguela,"Bahia, port unspecified",1753,,
47611,,"Bahia, port unspecified",Benguela,"Bahia, port unspecified",1753,,
47612,S João Batista e Almas,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1753,,
47613,NS da Conceição e Almas,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1757,,
47614,NS da Conceição e Almas,"Bahia, port unspecified",Princes Island,"Bahia, port unspecified",1756,166,
47615,Santana S Antônio e Almas,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1757,,
47616,NS dos Prazeres S José e Almas,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1756,,
47617,NS da Conceição S João e Almas,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1759,,
47618,NS da Boa Viagem e Três Reis Magos,"Southeast Brazil, port unspecified",Badagry/Apa,Rio de Janeiro,1763,,
47620,NS do Rosario S Antônio e Almas,"Southeast Brazil, port unspecified",Whydah,Rio de Janeiro,1764,,
47621,Santana S Antônio e Almas,"Southeast Brazil, port unspecified",Whydah,Rio de Janeiro,1764,,
47622,,"Southeast Brazil, port unspecified",Ardra,Rio de Janeiro,1765,,
47623,NS da Conceição S Antônio e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1765,,
